,term,cocacola_2003_csr,cocacola_2004_csr,cocacola_2005_csr,cocacola_2006_csr,cocacola_20072008_csr,cocacola_20082009_csr,cocacola_20092010_csr,cocacola_20102011_csr,cocacola_20112012_csr,cocacola_20122013_csr,cocacola_20132014_csr,cocacola_20142015_csr,cocacola_2021_csr,pepsico_2006_csr,pepsico_2007_csr,pepsico_2008_csr,pepsico_2009_csr,pepsico_2010_csr,pepsico_20112012_csr,pepsico_2013_csr,pepsico_2014_csr,pepsico_2021_csr
0,inclusion,0.0029307492192108277,0.0,0.0,0.0,0.0,0.003606498557111196,0.0018198051209857681,0.0036343782291777143,0.0,0.006264999965925919,0.014721719534478381,0.006653719317149818,0.019135176576416613,0.036052114089057584,0.0356003402887979,0.030994993193651645,0.06222442715435576,0.01838788254703322,0.012480475360385362,0.008322986315519192,0.008568372519669137,0.014432850522626314
1,equity,0.0,0.0,0.0,0.014302765347193862,0.003990307240492563,0.0,0.0,0.0,0.0,0.0011864502596760534,0.0,0.0014700758015976781,0.0349881492452527,0.003773070304804985,0.0019663888831435916,0.00241695812837805,0.003927969574727583,0.004875152657312819,0.0,0.0,0.0,0.025510404981108226
2,diversity,0.0,0.0019435764811098885,0.0,0.017283577623354373,0.04959688758054885,0.02310925196051808,0.019989789175105084,0.011089474139910516,0.0,0.019662392426638472,0.04491996093360666,0.014211612153233482,0.022347980579623287,0.044291399298128385,0.03937703306861398,0.03337910629582462,0.06238375803267223,0.026931081154644352,0.018279032070133996,0.030474827558163647,0.02352998657201953,0.01100963579897343
